品名,最低价,平均价,最高价,单位,发布日期
鲍鱼,5.0,5.5,6.0,个,2022-01-23 00:00:00
扇贝（地播）,32.0,34.0,36.0,斤,2022-01-23 00:00:00
扇贝（地播）,25.0,26.5,28.0,斤,2022-01-23 00:00:00
小红扇贝,5.0,5.5,6.0,斤,2022-01-23 00:00:00
大香螺,35.0,36.5,38.0,斤,2022-01-23 00:00:00
海螺,15.0,16.5,18.0,斤,2022-01-23 00:00:00
海螺,20.0,22.5,25.0,斤,2022-01-23 00:00:00
海螺,28.0,30.0,32.0,斤,2022-01-23 00:00:00
生蚝,13.0,13.0,13.0,斤,2022-01-23 00:00:00
生蚝,15.0,15.0,15.0,斤,2022-01-23 00:00:00
文蛤,13.0,13.0,13.0,斤,2022-01-23 00:00:00
白蛤,4.0,6.0,8.0,斤,2022-01-23 00:00:00
青蛤,13.0,13.0,13.0,斤,2022-01-23 00:00:00
花蛤,4.0,4.75,5.5,斤,2022-01-23 00:00:00
甲鱼,31.0,31.0,31.0,斤,2022-01-23 00:00:00
蚕蛹,35.0,35.0,35.0,斤,2022-01-23 00:00:00
牛蛙,11.0,11.0,11.0,斤,2022-01-23 00:00:00
海蜇头,6.0,7.0,8.0,斤,2022-01-23 00:00:00
海蜇皮,9.0,9.0,9.0,斤,2022-01-23 00:00:00
海蜇丝,6.0,6.0,6.0,斤,2022-01-23 00:00:00
大白菜,0.9,1.05,1.2,斤,2022-01-22 00:00:00
娃娃菜,1.2,1.35,1.5,斤,2022-01-22 00:00:00
小白菜,1.5,1.65,1.8,斤,2022-01-22 00:00:00
圆白菜,1.5,1.6,1.7,斤,2022-01-22 00:00:00
圆白菜,0.8,0.85,0.9,斤,2022-01-22 00:00:00
紫甘蓝,1.4,1.45,1.5,斤,2022-01-22 00:00:00
芹菜,1.2,1.35,1.5,斤,2022-01-22 00:00:00
西芹,2.5,2.55,2.6,斤,2022-01-22 00:00:00
菠菜,2.5,2.75,3.0,斤,2022-01-22 00:00:00
莴笋,1.6,2.05,2.5,斤,2022-01-22 00:00:00
团生菜,1.5,2.0,2.5,斤,2022-01-22 00:00:00
散叶生菜,3.0,3.25,3.5,斤,2022-01-22 00:00:00
罗马生菜,1.8,1.9,2.0,斤,2022-01-22 00:00:00
香菜,5.0,5.5,6.0,斤,2022-01-22 00:00:00
茴香,4.5,4.75,5.0,斤,2022-01-22 00:00:00
韭菜,2.5,2.75,3.0,斤,2022-01-22 00:00:00
苦菊,5.0,5.25,5.5,斤,2022-01-22 00:00:00
油麦菜,3.0,3.5,4.0,斤,2022-01-22 00:00:00
黄心菜,0.8,1.15,1.5,斤,2022-01-22 00:00:00
菜花,1.4,1.95,2.5,斤,2022-01-22 00:00:00
散菜花,2.0,2.5,3.0,斤,2022-01-22 00:00:00
绿菜花,2.0,2.25,2.5,斤,2022-01-22 00:00:00
绿豆芽,0.95,0.98,1.0,斤,2022-01-22 00:00:00
黄豆芽,0.85,0.88,0.9,斤,2022-01-22 00:00:00
番茄,5.0,5.5,6.0,斤,2022-01-22 00:00:00
番茄,6.0,6.35,6.7,斤,2022-01-22 00:00:00
黄瓜,4.0,4.75,5.5,斤,2022-01-22 00:00:00
黄瓜,5.5,6.0,6.5,斤,2022-01-22 00:00:00
小黄瓜,5.5,5.75,6.0,斤,2022-01-22 00:00:00
茄子,1.8,2.8,3.8,斤,2022-01-22 00:00:00
长茄,1.5,2.5,3.5,斤,2022-01-22 00:00:00
广茄,2.5,3.05,3.6,斤,2022-01-22 00:00:00
冬瓜,1.3,1.35,1.4,斤,2022-01-22 00:00:00
冬瓜,0.9,0.95,1.0,斤,2022-01-22 00:00:00
毛冬瓜,2.3,2.65,3.0,斤,2022-01-22 00:00:00
架豆,5.0,5.75,6.5,斤,2022-01-22 00:00:00
豆王,5.0,6.0,7.0,斤,2022-01-22 00:00:00
扁豆,5.0,6.5,8.0,斤,2022-01-22 00:00:00
豇豆,7.5,7.75,8.0,斤,2022-01-22 00:00:00
白不老,5.0,6.5,8.0,斤,2022-01-22 00:00:00
油豆,6.0,6.75,7.5,斤,2022-01-22 00:00:00
毛豆,4.8,5.15,5.5,斤,2022-01-22 00:00:00
玉米,2.5,2.75,3.0,斤,2022-01-22 00:00:00
花生,5.0,5.25,5.5,斤,2022-01-22 00:00:00
苦瓜,7.0,7.25,7.5,斤,2022-01-22 00:00:00
丝瓜,3.5,4.25,5.0,斤,2022-01-22 00:00:00
西葫芦,2.4,2.9,3.4,斤,2022-01-22 00:00:00
佛手瓜,2.0,2.2,2.4,斤,2022-01-22 00:00:00
贝贝南瓜,2.5,2.65,2.8,斤,2022-01-22 00:00:00
金丝南瓜,1.4,1.5,1.6,斤,2022-01-22 00:00:00
板栗南瓜,2.0,2.15,2.3,斤,2022-01-22 00:00:00
尖椒,4.7,5.6,6.5,斤,2022-01-22 00:00:00
红尖椒,5.0,5.5,6.0,斤,2022-01-22 00:00:00
美人椒,14.0,14.5,15.0,斤,2022-01-22 00:00:00
螺丝椒,6.0,7.0,8.0,斤,2022-01-22 00:00:00
柿子椒,3.4,4.2,5.0,斤,2022-01-22 00:00:00
线椒,4.0,5.0,6.0,斤,2022-01-22 00:00:00
杭椒,5.8,6.4,7.0,斤,2022-01-22 00:00:00
小米椒,17.0,17.5,18.0,斤,2022-01-22 00:00:00
彩椒,7.0,7.5,8.0,斤,2022-01-22 00:00:00
白萝卜,0.7,0.85,1.0,斤,2022-01-22 00:00:00
心里美,1.5,1.6,1.7,斤,2022-01-22 00:00:00
卞萝卜,1.0,1.05,1.1,斤,2022-01-22 00:00:00
青萝卜,2.4,2.6,2.8,斤,2022-01-22 00:00:00
胡萝卜,1.0,1.35,1.7,斤,2022-01-22 00:00:00
胡萝卜,1.3,1.5,1.7,斤,2022-01-22 00:00:00
土豆,0.7,0.85,1.0,斤,2022-01-22 00:00:00
土豆,1.0,1.15,1.3,斤,2022-01-22 00:00:00
葱头,0.7,0.77,0.85,斤,2022-01-22 00:00:00
葱头,0.8,0.9,1.0,斤,2022-01-22 00:00:00
山药,3.8,5.9,8.0,斤,2022-01-22 00:00:00
莲藕,3.0,3.25,3.5,斤,2022-01-22 00:00:00
红薯,1.2,1.35,1.5,斤,2022-01-22 00:00:00
红薯,2.2,2.35,2.5,斤,2022-01-22 00:00:00
紫薯,3.4,3.6,3.8,斤,2022-01-22 00:00:00
茭白,6.0,6.25,6.5,斤,2022-01-22 00:00:00
荸荠,2.0,2.3,2.6,斤,2022-01-22 00:00:00
芋头,1.8,2.4,3.0,斤,2022-01-22 00:00:00
姜,1.5,2.45,3.4,斤,2022-01-22 00:00:00
大蒜,3.0,3.7,4.4,斤,2022-01-22 00:00:00
蒜米,2.5,3.0,3.5,斤,2022-01-22 00:00:00
大葱,2.5,2.75,3.0,斤,2022-01-22 00:00:00
小葱,4.5,4.9,5.3,斤,2022-01-22 00:00:00
蒜苗,3.3,4.9,6.5,斤,2022-01-22 00:00:00
蒜黄,4.0,4.25,4.5,斤,2022-01-22 00:00:00
青蒜,3.5,3.75,4.0,斤,2022-01-22 00:00:00
平菇,2.5,3.0,3.5,斤,2022-01-22 00:00:00
香菇,4.0,5.5,7.0,斤,2022-01-22 00:00:00
白玉菇,5.0,6.5,8.0,斤,2022-01-22 00:00:00
杏鲍菇,3.5,4.0,4.5,斤,2022-01-22 00:00:00
金针菇,4.0,4.5,5.0,斤,2022-01-22 00:00:00
菠萝,2.0,2.1,2.2,斤,2022-01-22 00:00:00
圣女果,5.0,6.5,8.0,斤,2022-01-22 00:00:00
百香果,7.0,7.5,8.0,斤,2022-01-22 00:00:00
冬枣,1.6,3.3,5.0,斤,2022-01-22 00:00:00
黑枣,7.0,8.5,10.0,斤,2022-01-22 00:00:00
九九草莓,18.0,21.0,24.0,斤,2022-01-22 00:00:00
甜宝草莓,10.0,13.0,16.0,斤,2022-01-22 00:00:00
红颜草莓,9.0,13.5,18.0,斤,2022-01-22 00:00:00
火龙果,5.0,6.5,8.0,斤,2022-01-22 00:00:00
火龙果,4.5,5.25,6.0,斤,2022-01-22 00:00:00
板栗,2.6,3.05,3.5,斤,2022-01-22 00:00:00
油栗,5.0,6.5,8.0,斤,2022-01-22 00:00:00
木瓜,5.0,5.25,5.5,斤,2022-01-22 00:00:00
柿饼,6.0,9.0,12.0,斤,2022-01-22 00:00:00
磨盘柿子,1.2,1.7,2.2,斤,2022-01-22 00:00:00
脆皮柿子,2.8,3.1,3.4,斤,2022-01-22 00:00:00
甘蔗,1.4,1.45,1.5,斤,2022-01-22 00:00:00
石榴,2.8,3.4,4.0,斤,2022-01-22 00:00:00
山楂,2.8,3.4,4.0,斤,2022-01-22 00:00:00
姑娘果（灯笼果）,8.0,13.0,18.0,斤,2022-01-22 00:00:00
鸭梨,1.1,1.3,1.5,斤,2022-01-22 00:00:00
雪花梨,1.2,1.4,1.6,斤,2022-01-22 00:00:00
皇冠梨,2.2,2.5,2.8,斤,2022-01-22 00:00:00
南果梨,1.0,2.5,4.0,斤,2022-01-22 00:00:00
丰水梨,3.4,3.6,3.8,斤,2022-01-22 00:00:00
广梨,1.8,2.4,3.0,斤,2022-01-22 00:00:00
酥梨,1.6,1.8,2.0,斤,2022-01-22 00:00:00
库尔勒香梨,3.6,4.05,4.5,斤,2022-01-22 00:00:00
红啤梨,3.5,4.0,4.5,斤,2022-01-22 00:00:00
蜜梨,2.0,2.25,2.5,斤,2022-01-22 00:00:00
京白梨,1.6,1.8,2.0,斤,2022-01-22 00:00:00
贵妃梨,1.5,1.65,1.8,斤,2022-01-22 00:00:00
砂糖橘,2.0,2.5,3.0,斤,2022-01-22 00:00:00
耙耙柑（丑橘）,3.5,4.25,5.0,斤,2022-01-22 00:00:00
爱媛,4.0,5.0,6.0,斤,2022-01-22 00:00:00
赣南脐橙Ф65-Ф95,2.2,3.0,3.8,斤,2022-01-22 00:00:00
血橙/二月红/中华红,1.8,2.1,2.4,斤,2022-01-22 00:00:00
沃柑,3.3,4.15,5.0,斤,2022-01-22 00:00:00
贡柑,3.0,3.5,4.0,斤,2022-01-22 00:00:00
冰糖橙,1.3,2.4,3.5,斤,2022-01-22 00:00:00
芦柑,1.5,2.0,2.5,斤,2022-01-22 00:00:00
金桔,2.5,4.75,7.0,斤,2022-01-22 00:00:00
蜜柚,1.8,2.4,3.0,斤,2022-01-22 00:00:00
蜜柚,1.6,2.0,2.4,斤,2022-01-22 00:00:00
葡萄柚,3.0,3.25,3.5,斤,2022-01-22 00:00:00
猕猴桃,2.5,3.5,4.5,斤,2022-01-22 00:00:00
猕猴桃,2.0,2.4,2.8,斤,2022-01-22 00:00:00
无籽小号-大号,3.5,3.65,3.8,斤,2022-01-22 00:00:00
麒麟、甜蜜蜜,5.0,5.5,6.0,斤,2022-01-22 00:00:00
特小凤,4.0,4.25,4.5,斤,2022-01-22 00:00:00
甜王,3.5,3.65,3.8,斤,2022-01-22 00:00:00
国产香蕉,3.5,3.75,4.0,斤,2022-01-22 00:00:00
南美、菲律宾香蕉,4.2,4.6,5.0,斤,2022-01-22 00:00:00
泰国香蕉,7.5,7.75,8.0,斤,2022-01-22 00:00:00
晓蜜25号,3.5,3.75,4.0,斤,2022-01-22 00:00:00
网纹,4.0,5.0,6.0,斤,2022-01-22 00:00:00
绿宝甜瓜,7.5,8.0,8.5,斤,2022-01-22 00:00:00
博阳,8.0,8.5,9.0,斤,2022-01-22 00:00:00
富士,1.8,2.2,2.6,斤,2022-01-22 00:00:00
富士,2.6,3.2,3.8,斤,2022-01-22 00:00:00
富士,1.5,2.0,2.5,斤,2022-01-22 00:00:00
黄元帅,1.8,2.2,2.6,斤,2022-01-22 00:00:00
花牛,2.3,3.4,4.5,斤,2022-01-22 00:00:00
阿克苏,4.0,4.5,5.0,斤,2022-01-22 00:00:00
国光,1.3,1.9,2.5,斤,2022-01-22 00:00:00
寒富苹果,1.3,1.55,1.8,斤,2022-01-22 00:00:00
阳光玫瑰,10.0,21.5,33.0,斤,2022-01-22 00:00:00
红提,6.0,7.0,8.0,斤,2022-01-22 00:00:00
红宝石,8.0,10.0,12.0,斤,2022-01-22 00:00:00
克伦生,8.0,10.0,12.0,斤,2022-01-22 00:00:00
黑提,10.0,11.0,12.0,斤,2022-01-22 00:00:00
辽峰,5.0,5.5,6.0,斤,2022-01-22 00:00:00
巨峰,3.5,4.0,4.5,斤,2022-01-22 00:00:00
木纳格,4.3,4.9,5.5,斤,2022-01-22 00:00:00
大台农,9.0,10.5,12.0,斤,2022-01-22 00:00:00
凯特,18.0,19.0,20.0,斤,2022-01-22 00:00:00
肯特\新世纪\澳芒,18.0,19.0,20.0,斤,2022-01-22 00:00:00
高乐蜜,8.0,9.0,10.0,斤,2022-01-22 00:00:00
水仙芒果,10.5,11.75,13.0,斤,2022-01-22 00:00:00
白条猪,10.0,10.0,10.0,斤,2022-01-22 00:00:00
白条猪,8.5,8.5,8.5,斤,2022-01-22 00:00:00
前臀尖,9.5,10.0,10.5,斤,2022-01-22 00:00:00
前臀尖,8.0,8.75,9.5,斤,2022-01-22 00:00:00
后臀尖,9.5,10.0,10.5,斤,2022-01-22 00:00:00
后臀尖,8.0,8.75,9.5,斤,2022-01-22 00:00:00
五花肉,11.5,12.0,12.5,斤,2022-01-22 00:00:00
五花肉,10.0,10.75,11.5,斤,2022-01-22 00:00:00
纯通脊,11.0,11.5,12.0,斤,2022-01-22 00:00:00
通脊,8.0,9.0,10.0,斤,2022-01-22 00:00:00
纯瘦肉,10.0,10.5,11.0,斤,2022-01-22 00:00:00
护心肉,12.0,12.5,13.0,斤,2022-01-22 00:00:00
前肘,12.0,13.0,14.0,斤,2022-01-22 00:00:00
后肘（带骨）,6.5,7.5,8.5,斤,2022-01-22 00:00:00
猪尾巴,40.0,40.0,40.0,斤,2022-01-22 00:00:00
猪蹄,21.0,22.0,23.0,斤,2022-01-22 00:00:00
纯排骨,22.0,23.0,24.0,斤,2022-01-22 00:00:00
纯腔骨,7.0,8.5,10.0,斤,2022-01-22 00:00:00
腔排骨,14.0,15.0,16.0,斤,2022-01-22 00:00:00
棒骨,8.5,9.0,9.5,斤,2022-01-22 00:00:00
猪头,8.0,8.5,9.0,斤,2022-01-22 00:00:00
猪口条,14.5,15.0,15.5,斤,2022-01-22 00:00:00
猪耳,27.0,27.0,27.0,斤,2022-01-22 00:00:00
猪脑,25.0,25.5,26.0,斤,2022-01-22 00:00:00
猪肚,22.0,22.5,23.0,斤,2022-01-22 00:00:00
猪板油,6.0,6.5,7.0,斤,2022-01-22 00:00:00
肥膘肉,5.0,6.0,7.0,斤,2022-01-22 00:00:00
猪腰子,13.0,13.5,14.0,斤,2022-01-22 00:00:00
猪心,8.5,8.5,8.5,斤,2022-01-22 00:00:00
猪肝,5.0,5.0,5.0,斤,2022-01-22 00:00:00
猪肺,3.0,3.5,4.0,个,2022-01-22 00:00:00
猪皮,5.0,6.0,7.0,斤,2022-01-22 00:00:00
猪肠头,17.0,17.5,18.0,斤,2022-01-22 00:00:00
整牛,33.25,33.25,33.25,斤,2022-01-22 00:00:00
牛前腱,39.0,42.0,45.0,斤,2022-01-22 00:00:00
牛后腱,39.0,42.0,45.0,斤,2022-01-22 00:00:00
牛前腿,34.0,34.5,35.0,斤,2022-01-22 00:00:00
牛后腿,34.0,34.5,35.0,斤,2022-01-22 00:00:00
牛腰窝,35.0,35.0,35.0,斤,2022-01-22 00:00:00
牛柳,37.0,37.0,37.0,斤,2022-01-22 00:00:00
精牛柳,39.0,39.5,40.0,斤,2022-01-22 00:00:00
牛腩,35.0,35.0,35.0,斤,2022-01-22 00:00:00
牛林,34.0,34.5,35.0,斤,2022-01-22 00:00:00
牛油,6.0,6.0,6.0,斤,2022-01-22 00:00:00
牛金钱腱,55.0,57.5,60.0,斤,2022-01-22 00:00:00
牛筋头巴脑,32.0,32.5,33.0,斤,2022-01-22 00:00:00
牛骨,5.0,5.5,6.0,斤,2022-01-22 00:00:00
牛排骨,30.0,30.0,30.0,斤,2022-01-22 00:00:00
牛板筋,35.0,35.0,35.0,斤,2022-01-22 00:00:00
牛尾,35.0,35.0,35.0,斤,2022-01-22 00:00:00
牛上脑,34.0,34.0,34.0,斤,2022-01-22 00:00:00
整羊,27.0,27.25,27.5,斤,2022-01-22 00:00:00
去骨羊后腿,36.0,36.5,37.0,斤,2022-01-22 00:00:00
羊腰窝,34.0,34.0,34.0,斤,2022-01-22 00:00:00
羊肉片,36.0,38.0,40.0,斤,2022-01-22 00:00:00
羊腰子,13.0,14.0,15.0,个,2022-01-22 00:00:00
羊蝎子,19.0,20.0,21.0,斤,2022-01-22 00:00:00
羊蝎子,28.0,29.0,30.0,斤,2022-01-22 00:00:00
羊排骨,27.0,27.0,27.0,斤,2022-01-22 00:00:00
羊尾巴油,9.0,9.0,9.0,斤,2022-01-22 00:00:00
羊小腿,24.0,24.5,25.0,斤,2022-01-22 00:00:00
羊腱子肉,37.0,37.5,38.0,斤,2022-01-22 00:00:00
羊上脑,35.0,36.0,37.0,斤,2022-01-22 00:00:00
羊骨头,11.0,11.5,12.0,斤,2022-01-22 00:00:00
羊腩,26.0,26.5,27.0,斤,2022-01-22 00:00:00
羊里脊,36.0,36.0,36.0,斤,2022-01-22 00:00:00
淘汰鸡,10.0,10.0,10.0,斤,2022-01-22 00:00:00
淘汰鸡,9.3,9.4,9.5,斤,2022-01-22 00:00:00
仔鸡,7.5,7.5,7.5,斤,2022-01-22 00:00:00
肉鸡,7.0,7.0,7.0,斤,2022-01-22 00:00:00
鸡胸,7.0,7.25,7.5,斤,2022-01-22 00:00:00
鸡翅尖,7.5,7.5,7.5,斤,2022-01-22 00:00:00
鸡翅中,22.0,22.0,22.0,斤,2022-01-22 00:00:00
鸡翅根,8.0,8.0,8.0,斤,2022-01-22 00:00:00
鸡边腿,6.5,6.75,7.0,斤,2022-01-22 00:00:00
鸡排腿,7.5,7.75,8.0,斤,2022-01-22 00:00:00
鸡琵琶腿,7.5,7.75,8.0,斤,2022-01-22 00:00:00
鸡胗,14.0,16.0,18.0,斤,2022-01-22 00:00:00
鸡爪,19.0,19.0,19.0,斤,2022-01-22 00:00:00
鸡心,6.0,6.25,6.5,斤,2022-01-22 00:00:00
鸡肝,2.5,2.75,3.0,斤,2022-01-22 00:00:00
鸡脖子,4.5,4.75,5.0,斤,2022-01-22 00:00:00
鸡头,2.5,2.5,2.5,斤,2022-01-22 00:00:00
鸡架子,3.0,3.0,3.0,斤,2022-01-22 00:00:00
白条乌鸡,12.0,12.0,12.0,斤,2022-01-22 00:00:00
黑爪公鸡,14.0,14.5,15.0,斤,2022-01-22 00:00:00
鸭腿,6.5,6.5,6.5,斤,2022-01-22 00:00:00
白条湖鸭,7.0,7.0,7.0,斤,2022-01-22 00:00:00
箱鸡蛋,194.0,197.0,200.0,箱,2022-01-22 00:00:00
箱鸡蛋,4.41,4.48,4.55,斤,2022-01-22 00:00:00
生鸭蛋,7.2,7.85,8.5,斤,2022-01-22 00:00:00
熟鸭蛋,7.5,8.25,9.0,斤,2022-01-22 00:00:00
松花蛋,7.7,8.35,9.0,斤,2022-01-22 00:00:00
鹅蛋,16.5,17.0,17.5,斤,2022-01-22 00:00:00
鹌鹑蛋,6.0,6.5,7.0,斤,2022-01-22 00:00:00
柴鸡蛋,4.66,6.83,9.0,斤,2022-01-22 00:00:00
乌鸡蛋,8.0,9.0,10.0,斤,2022-01-22 00:00:00
鸵鸟蛋,120.0,125.0,130.0,个,2022-01-22 00:00:00
鸽子蛋,3.0,3.0,3.0,个,2022-01-22 00:00:00
大白菜,0.8,0.95,1.1,斤,2022-01-21 00:00:00
娃娃菜,1.0,1.1,1.2,斤,2022-01-21 00:00:00
小白菜,1.2,1.35,1.5,斤,2022-01-21 00:00:00
圆白菜,1.5,1.55,1.6,斤,2022-01-21 00:00:00
圆白菜,0.7,0.75,0.8,斤,2022-01-21 00:00:00
紫甘蓝,1.4,1.45,1.5,斤,2022-01-21 00:00:00
芹菜,1.2,1.35,1.5,斤,2022-01-21 00:00:00
西芹,2.0,2.1,2.2,斤,2022-01-21 00:00:00
菠菜,2.0,2.25,2.5,斤,2022-01-21 00:00:00
莴笋,1.4,1.95,2.5,斤,2022-01-21 00:00:00
散叶生菜,3.0,3.25,3.5,斤,2022-01-21 00:00:00
罗马生菜,1.8,1.9,2.0,斤,2022-01-21 00:00:00
油菜,1.2,1.25,1.3,斤,2022-01-21 00:00:00
香菜,5.0,5.5,6.0,斤,2022-01-21 00:00:00
茴香,4.0,4.5,5.0,斤,2022-01-21 00:00:00
韭菜,2.5,2.65,2.8,斤,2022-01-21 00:00:00
苦菊,4.0,4.5,5.0,斤,2022-01-21 00:00:00
油麦菜,2.0,3.0,4.0,斤,2022-01-21 00:00:00
黄心菜,0.8,1.15,1.5,斤,2022-01-21 00:00:00
菜花,1.4,1.95,2.5,斤,2022-01-21 00:00:00
散菜花,1.5,2.0,2.5,斤,2022-01-21 00:00:00
绿菜花,1.5,2.0,2.5,斤,2022-01-21 00:00:00
